logFC	AveExpr	t	P.Value	adj.P.Val	B	Significance	ID
NCK2	0.964788411229165	5.49536471049974	21.637373217461	3.03207002032633e-85	5.27685953421211e-83	183.4083541651	Not Significant	NCK2
CENPW	1.77867130796467	2.94677520450465	21.6208440084145	3.8656059380524e-85	6.65017518101498e-83	183.283964341402	Upregulated	CENPW
CDCA7	2.7158660555458	2.20916349061156	21.5771231074064	7.34646066762234e-85	1.2494826910489e-82	182.642187479449	Upregulated	CDCA7
KCNK15	-3.51516007703928	2.11146232202169	-21.4966172243002	2.39352050278607e-84	4.02514846799991e-82	181.417987710827	Downregulated	KCNK15
DNAL1	-1.06886018928188	4.4395760221996	-21.4954653912669	2.4342844725678e-84	4.04821507788025e-82	181.396367743114	Downregulated	DNAL1
RTN4RL1	-2.23767512985754	4.2620657227348	-21.4586536562571	4.17534354751921e-84	6.86729306326594e-82	180.881269056928	Downregulated	RTN4RL1
NAT1	-4.11385500400972	5.39143512799384	-21.4545982691397	4.43095688300459e-84	7.20405949723665e-82	180.806860395964	Downregulated	NAT1
IVD	-1.21580838292516	6.40397000594018	-21.4539023738879	4.47636489104702e-84	7.20405949723665e-82	180.704412184886	Downregulated	IVD
FAM171A1	1.93820156946867	4.00874992476009	21.4462229708352	5.00940135654959e-84	7.90370443109055e-82	180.691159083113	Upregulated	FAM171A1
LPIN1	1.33669458684367	4.91177747273077	21.4461233641052	5.01671624877131e-84	7.90370443109055e-82	180.638095711797	Upregulated	LPIN1
SLC43A3	1.35468676192813	5.6653658222299	21.444528232861	5.13532325163658e-84	8.00628990700466e-82	180.58164555106	Upregulated	SLC43A3
MTHFD1L	1.562790523025	3.88208845361466	21.412098467717	8.25710093341737e-84	1.27406216155111e-81	180.200944969701	Upregulated	MTHFD1L
DNAJC12	-3.41368541000873	4.23250128356141	-21.3933589962408	1.08633338955688e-83	1.65909712668345e-81	179.940820021328	Downregulated	DNAJC12
KCMF1	0.625204746131032	6.05410588844842	21.3748377719244	1.42453836856744e-83	2.15364300629786e-81	179.549956158654	Not Significant	KCMF1
PDSS1	1.1706105845343	2.32807331420457	21.320586964742	3.14956583522344e-83	4.66728236195933e-81	178.898483292656	Upregulated	PDSS1
C20orf26	-2.75800511563386	-0.764622468016155	-21.3210169768665	3.12982964337224e-83	4.66728236195933e-81	178.1977911221	Downregulated	C20orf26
SFRS13B	2.63247195229566	-0.912519986694487	21.2846142533096	5.32791559792821e-83	7.81793262295995e-81	177.839582443087	Upregulated	SFRS13B
PREX1	-1.93974696434781	7.25761348395211	-21.1868388708419	2.22019144952808e-82	3.22617528398901e-80	176.808582170787	Downregulated	PREX1
HAPLN3	2.15672776067641	3.89067810790456	21.1668827502949	2.97009382331245e-82	4.27436483206899e-80	176.62893628714	Upregulated	HAPLN3
LRRC46	-2.29492734200165	1.69221313610335	-21.1552662214797	3.51816311731815e-82	5.0148902263715e-80	176.436181353618	Downregulated	LRRC46
CASC1	-2.46614342752859	0.615140277841453	-21.1509018223498	3.7492439725224e-82	5.29386174874931e-80	176.197299423226	Downregulated	CASC1
MICALL1	1.14771017703183	5.07769446431607	21.1165703375786	6.18296405383429e-82	8.64863766296615e-80	175.827944367415	Upregulated	MICALL1
PRKX	1.58236009261912	4.69883520044162	21.0761285802203	1.11415992647187e-81	1.529874460505e-79	175.26277102829	Upregulated	PRKX
TTC36	-4.35472930200572	0.00404379146187918	-21.0989788833425	7.98851952040814e-82	1.10707566353656e-79	175.209060140112	Downregulated	TTC36
C5orf30	-1.4518816427893	5.15154561682234	-21.0687921967584	1.23971736746924e-81	1.6868045308102e-79	175.145040941699	Downregulated	C5orf30
ADCY9	-1.29142423830626	5.48848091238245	-21.0270276576803	2.27620694266212e-81	3.06918822620036e-79	174.519498683729	Downregulated	ADCY9
C5orf36	-1.40348332464321	1.75402286338024	-20.9901728694822	3.88969082730593e-81	5.19794666181142e-79	174.065175668559	Downregulated	C5orf36
BCL2	-2.08656539739447	5.94485436938242	-20.9691098702463	5.28249358643594e-81	6.99673287683068e-79	173.672668159947	Downregulated	BCL2
NOSTRIN	-2.40776637642447	3.92240317539752	-20.9241438562146	1.01494008918346e-80	1.33250950129902e-78	173.130728863412	Downregulated	NOSTRIN
C9orf98	-1.85469346647333	1.81068867691668	-20.9231292596356	1.02999904174032e-80	1.34052136154151e-78	173.097110754624	Downregulated	C9orf98
ESYT3	2.80665506191174	-0.89376620139191	20.9146597585081	1.16473538182928e-80	1.50280986722748e-78	172.538875522498	Upregulated	ESYT3
AR	-3.64853731278786	3.76872885471886	-20.8596917859475	2.58545373919148e-80	3.30739197559648e-78	172.215637714357	Downregulated	AR
ABCC8	-5.37664784142472	1.08343644394371	-20.8381978860971	3.53067719242349e-80	4.47827504567817e-78	171.628005589638	Downregulated	ABCC8
TSPAN1	-3.4486561584102	5.23397632394402	-20.8139889842902	5.01427659255871e-80	6.30661157654001e-78	171.489988693811	Downregulated	TSPAN1
BBS4	-0.971822828103326	4.39314066426179	-20.8124364339575	5.12833514291972e-80	6.39631600700662e-78	171.473268917305	Not Significant	BBS4
SYBU	-2.25873726805191	4.65616904841873	-20.8029271293399	5.88571947955968e-80	7.28029450004709e-78	171.336422361459	Downregulated	SYBU
SLC7A2	-3.93135836662235	6.20259229494208	-20.7766284515525	8.61370633506518e-80	1.04814099769854e-77	170.913247010715	Downregulated	SLC7A2
VAV3	-2.02891563649858	7.09564482383435	-20.7787362104836	8.35482753421033e-80	1.02497298118464e-77	170.8954365615	Downregulated	VAV3
FAM123B	1.17636890638627	3.40264897967933	20.7537084513007	1.20023545877377e-79	1.44870355737638e-77	170.674738294215	Upregulated	FAM123B
KIAA1370	-1.51769392787915	6.09434107603104	-20.7419882353883	1.42205572971765e-79	1.70271264853472e-77	170.37622606934	Downregulated	KIAA1370
LONRF2	-3.19903793790128	4.16142908866463	-20.729784265301	1.69663952268196e-79	1.99949635716385e-77	170.320609241493	Downregulated	LONRF2
BBS1	-0.992734206309147	5.42402295279374	-20.7112565177384	2.2179870312283e-79	2.59348530440577e-77	169.952116165286	Not Significant	BBS1
MAP3K12	-1.31577421638216	3.33859876005467	-20.6998218661475	2.61672331776408e-79	3.01265368438269e-77	169.908436383047	Downregulated	MAP3K12
EVL	-1.67311531524162	7.44876141279549	-20.7022513729588	2.52641149173056e-79	2.93122486796367e-77	169.787561518031	Downregulated	EVL
MAG	-3.69334738429761	-1.90689117021409	-20.7333674025387	1.61094193424012e-79	1.91356888331523e-77	169.416002123554	Downregulated	MAG
TLE3	-0.911886015445551	6.94627515218027	-20.6659584056906	4.26872083481728e-79	4.87709501791681e-77	169.259720451536	Not Significant	TLE3
C4orf34	-1.37044793835919	6.01218304917694	-20.6388421940155	6.31526328905896e-79	7.16064739752617e-77	168.890158694003	Downregulated	C4orf34
WDR19	-1.01878584034306	4.48898292309241	-20.6015259436453	1.08224255478778e-78	1.21788904642922e-76	168.426563147752	Downregulated	WDR19
BCAS1	-3.97439379411264	3.74587461149285	-20.5935534784133	1.21417678142456e-78	1.35616297668517e-76	168.386022171037	Downregulated	BCAS1
UBXN10	-2.58262452980854	3.23060891095508	-20.5804133003019	1.46758994794026e-78	1.62706805561643e-76	168.199187329208	Downregulated	UBXN10
SPEF2	-1.56528406407265	3.38885203351347	-20.5621150230388	1.91076985666743e-78	2.10283032681923e-76	167.927747598692	Downregulated	SPEF2
RUNDC1	-0.998299846795561	5.62426688564998	-20.5564536992038	2.07327822354827e-78	2.26501862568226e-76	167.715963703164	Not Significant	RUNDC1
IL12RB2	3.5505326860743	-0.27101286307265	20.5504944175497	2.25927103272092e-78	2.45032677874884e-76	167.535128328634	Upregulated	IL12RB2
CAPN13	-3.13717252953553	4.05078261260927	-20.5009421357573	4.61367230507797e-78	4.96782974029511e-76	167.032905395539	Downregulated	CAPN13
ZG16B	-2.51980223281369	5.4352148738192	-20.4898205121966	5.41502708584723e-78	5.78905074241968e-76	166.796896466933	Downregulated	ZG16B
DSC2	2.09821188224413	5.68576323133733	20.4489299571204	9.75434868303124e-78	1.03541373573708e-75	166.170759369755	Upregulated	DSC2
CPEB2	-1.48363932065893	5.18918321085769	-20.4385160285439	1.1330807560452e-77	1.18593144585514e-75	166.048808810868	Downregulated	CPEB2
RARA	-1.39897656189201	6.7124464170939	-20.4024766392166	1.9024797805511e-77	1.9773899219103e-75	165.478575099489	Downregulated	RARA
LOC100130148	-4.12752846904094	-2.18049021548525	-20.4405501012121	1.10040797285915e-77	1.15984550209738e-75	165.19945776586	Downregulated	LOC100130148
YEATS2	0.860736032038772	5.63927386328329	20.3790966135088	2.66218803697324e-77	2.74792885168127e-75	165.160146223925	Not Significant	YEATS2
SYTL5	-4.27217818928313	1.85910669985118	-20.3687786577743	3.08754606359212e-77	3.14362598189002e-75	165.11297442422	Downregulated	SYTL5
FAM174A	-1.12144241923071	4.19864005887406	-20.3348952802886	5.02253216480394e-77	5.07920533179869e-75	164.624272373487	Downregulated	FAM174A
NXNL2	-3.58829620673545	-0.975802734385666	-20.3754291803797	2.80621988115807e-77	2.87675979186937e-75	164.615284801965	Downregulated	NXNL2
UBXN2A	0.706379401806422	3.85771574571504	20.3128942791876	6.88736444066702e-77	6.91833446868881e-75	164.320325765239	Not Significant	UBXN2A
CDC123	0.809565090186095	5.98876953452628	20.2943475147094	8.98683522951446e-77	8.96706419200953e-75	163.935280781206	Not Significant	CDC123
PCP2	-2.9825234694419	0.000362139243732961	-20.2831224326269	1.05565672651323e-76	1.04635855799493e-74	163.598576455926	Downregulated	PCP2
TIGD2	0.984595634823566	3.0914367036734	20.2571686784903	1.53149900262715e-76	1.50802273502109e-74	163.565472254607	Not Significant	TIGD2
PAK1IP1	0.875780064873741	4.2839966209924	20.226396821359	2.38012733626999e-76	2.32832456483353e-74	163.054022810593	Not Significant	PAK1IP1
ZNF703	-2.28792818170654	4.75162895068229	-20.2138408641615	2.84903512676072e-76	2.76892913910569e-74	162.872437476564	Downregulated	ZNF703
SUV39H2	1.07308157781249	3.51071761353996	20.1704742028964	5.30010247549421e-76	5.11784733875625e-74	162.308093722679	Upregulated	SUV39H2
GPR160	-1.74479960957657	5.32294013920531	-20.169245304925	5.39411480397148e-76	5.17523822250264e-74	162.19573616773	Downregulated	GPR160
FLJ36031	1.09098398157906	3.82043423364342	20.1269407803056	9.87798286595993e-76	9.4168006085874e-74	161.668138966138	Upregulated	FLJ36031
PCBD2	-0.871041120402502	4.19899868977059	-19.9963041999215	6.37667424136105e-75	6.00249580946232e-73	159.793602358791	Not Significant	PCBD2
C14orf174	-1.93138727972994	1.15932927566204	-19.9843991840009	7.55604112759712e-75	7.02430233271715e-73	159.617852206555	Downregulated	C14orf174
TTC7A	0.955048842166616	5.05915886296793	19.9874383405327	7.23571789348604e-75	6.76856185698785e-73	159.59941592455	Not Significant	TTC7A
CHODL	3.29877051266233	-1.27881476412015	20.0031974797904	5.77978656713229e-75	5.47506743989044e-73	159.478080888853	Upregulated	CHODL
MCCC2	-1.38826927722608	7.5374894020545	-19.9625357627117	1.03180075232625e-74	9.53269250621415e-73	159.196780750182	Downregulated	MCCC2
HMGA1	1.24992679230256	6.55186643732014	19.9288019434694	1.66815116628954e-74	1.53173119667826e-72	158.716786898036	Upregulated	HMGA1
MAGED2	-1.42285813392957	9.26014942662668	-19.9234271213059	1.80079526387148e-74	1.64344528746125e-72	158.663435454748	Downregulated	MAGED2
CMYA5	-2.05045089815967	4.38670609442795	-19.8584941700282	4.53526763272703e-74	4.11390003994094e-72	157.838832021695	Downregulated	CMYA5
MPP6	2.04528467835642	0.783001869681551	19.8492324083537	5.17338205094895e-74	4.66445838292488e-72	157.713225864186	Upregulated	MPP6
C4orf32	-1.60599494512508	5.01044230931177	-19.8379729082777	6.07103514026948e-74	5.44102891882715e-72	157.503789806883	Downregulated	C4orf32
C9orf30	0.822578283333746	3.6460831412506	19.8288241962167	6.91372132315411e-74	6.15938494307426e-72	157.44670965561	Not Significant	C9orf30
SFT2D2	1.16100029792812	2.26240457243003	19.8162636174021	8.26408542468984e-74	7.27579803243134e-72	157.317903602279	Upregulated	SFT2D2
GLI3	-1.61694931290501	5.71776120141686	-19.8223399069669	7.58078811364898e-74	6.71370743769137e-72	157.240760658378	Downregulated	GLI3
WWP1	-1.42891621255443	7.31726071536476	-19.7958233465644	1.10469116925673e-73	9.66895481302071e-72	156.83230946659	Downregulated	WWP1
DNAH7	-2.25576733561428	0.778561627383552	-19.7875161373881	1.24294507725855e-73	1.08157900996097e-71	156.780737898453	Downregulated	DNAH7
ATP6V1C2	1.89046483399209	2.07429267274684	19.7753344976663	1.47751177961431e-73	1.27091487387859e-71	156.739283319031	Upregulated	ATP6V1C2
SEMA3F	-1.17184950809454	6.55716833214433	-19.7840582885878	1.3054663324802e-73	1.12941702879949e-71	156.668972580365	Downregulated	SEMA3F
SOX11	3.24583034567267	1.78238640204472	19.7682620771777	1.63347053693085e-73	1.3970373443568e-71	156.639348049725	Upregulated	SOX11
